Depart,Destination,Drive-up,Vessel,timestamp
11:55 AM,Edmonds,80 Spaces,Spokane,6/14/2026 11:36:57 AM
12:45 PM,Edmonds,186 Spaces,Walla Walla,6/14/2026 11:36:57 AM
01:30 PM,Edmonds,186 Spaces,Spokane,6/14/2026 11:36:57 AM
02:30 PM,Edmonds,186 Spaces,Walla Walla,6/14/2026 11:36:57 AM
03:10 PM,Edmonds,186 Spaces,Spokane,6/14/2026 11:36:57 AM
04:00 PM,Edmonds,186 Spaces,Walla Walla,6/14/2026 11:36:57 AM
04:40 PM,Edmonds,186 Spaces,Spokane,6/14/2026 11:36:57 AM
05:30 PM,Edmonds,186 Spaces,Walla Walla,6/14/2026 11:36:57 AM
06:10 PM,Edmonds,186 Spaces,Spokane,6/14/2026 11:36:57 AM
07:00 PM,Edmonds,186 Spaces,Walla Walla,6/14/2026 11:36:57 AM
07:45 PM,Edmonds,186 Spaces,Spokane,6/14/2026 11:36:57 AM
08:20 PM,Edmonds,186 Spaces,Walla Walla,6/14/2026 11:36:57 AM
09:10 PM,Edmonds,186 Spaces,Spokane,6/14/2026 11:36:57 AM
09:40 PM,Edmonds,186 Spaces,Walla Walla,6/14/2026 11:36:57 AM
10:30 PM,Edmonds,186 Spaces,Spokane,6/14/2026 11:36:57 AM
11:10 PM,Edmonds,186 Spaces,Walla Walla,6/14/2026 11:36:57 AM
