Depart,Destination,Drive-up,Vessel,timestamp
04:40 PM,Seattle,165 Spaces,Tacoma,4/19/2026 4:18:51 PM
05:35 PM,Seattle,197 Spaces,Puyallup,4/19/2026 4:18:51 PM
06:30 PM,Seattle,197 Spaces,Tacoma,4/19/2026 4:18:51 PM
07:15 PM,Seattle,197 Spaces,Puyallup,4/19/2026 4:18:51 PM
08:10 PM,Seattle,197 Spaces,Tacoma,4/19/2026 4:18:51 PM
08:55 PM,Seattle,197 Spaces,Puyallup,4/19/2026 4:18:51 PM
09:45 PM,Seattle,197 Spaces,Tacoma,4/19/2026 4:18:51 PM
10:30 PM,Seattle,197 Spaces,Puyallup,4/19/2026 4:18:51 PM
