Depart,Destination,Drive-up,Vessel,timestamp
05:30 PM,Bremerton,88 Spaces,Chimacum,3/1/2026 5:22:33 PM
05:35 PM,Bainbridge Island,126 Spaces,Wenatchee,3/1/2026 5:22:33 PM
06:25 PM,Bainbridge Island,197 Spaces,Tacoma,3/1/2026 5:22:33 PM
06:45 PM,Bremerton,139 Spaces,Kaleetan,3/1/2026 5:22:33 PM
07:20 PM,Bainbridge Island,197 Spaces,Wenatchee,3/1/2026 5:22:33 PM
07:50 PM,Bremerton,141 Spaces,Chimacum,3/1/2026 5:22:33 PM
08:10 PM,Bainbridge Island,197 Spaces,Tacoma,3/1/2026 5:22:33 PM
09:00 PM,Bainbridge Island,197 Spaces,Wenatchee,3/1/2026 5:22:33 PM
09:05 PM,Bremerton,139 Spaces,Kaleetan,3/1/2026 5:22:33 PM
09:45 PM,Bainbridge Island,197 Spaces,Tacoma,3/1/2026 5:22:33 PM
10:30 PM,Bremerton,141 Spaces,Chimacum,3/1/2026 5:22:33 PM
10:40 PM,Bainbridge Island,197 Spaces,Wenatchee,3/1/2026 5:22:33 PM
11:15 PM,Bainbridge Island,197 Spaces,Tacoma,3/1/2026 5:22:33 PM
12:45 AM,Bainbridge Island,197 Spaces,Tacoma,3/1/2026 5:22:33 PM
12:50 AM,Bremerton,141 Spaces,Chimacum,3/1/2026 5:22:33 PM
02:10 AM,Bainbridge Island,197 Spaces,Tacoma,3/1/2026 5:22:33 PM
