Depart,Destination,Drive-up,Vessel,timestamp
04:45 PM,Seattle,108 Spaces,Tacoma,4/29/2026 4:34:23 PM
05:35 PM,Seattle,197 Spaces,Wenatchee,4/29/2026 4:34:23 PM
06:40 PM,Seattle,197 Spaces,Tacoma,4/29/2026 4:34:23 PM
07:20 PM,Seattle,197 Spaces,Wenatchee,4/29/2026 4:34:23 PM
08:20 PM,Seattle,197 Spaces,Tacoma,4/29/2026 4:34:23 PM
09:00 PM,Seattle,197 Spaces,Wenatchee,4/29/2026 4:34:23 PM
10:00 PM,Seattle,197 Spaces,Tacoma,4/29/2026 4:34:23 PM
11:30 PM,Seattle,197 Spaces,Tacoma,4/29/2026 4:34:23 PM
