Depart,Destination,Drive-up,Vessel,timestamp
09:00 PM,Bainbridge Island,164 Spaces,Wenatchee,3/15/2026 8:50:04 PM
09:05 PM,Bremerton,113 Spaces,Kaleetan,3/15/2026 8:50:04 PM
09:45 PM,Bainbridge Island,197 Spaces,Puyallup,3/15/2026 8:50:04 PM
10:30 PM,Bremerton,141 Spaces,Chimacum,3/15/2026 8:50:04 PM
10:40 PM,Bainbridge Island,197 Spaces,Wenatchee,3/15/2026 8:50:04 PM
11:15 PM,Bainbridge Island,197 Spaces,Puyallup,3/15/2026 8:50:04 PM
12:45 AM,Bainbridge Island,197 Spaces,Puyallup,3/15/2026 8:50:04 PM
12:50 AM,Bremerton,141 Spaces,Chimacum,3/15/2026 8:50:04 PM
02:10 AM,Bainbridge Island,197 Spaces,Puyallup,3/15/2026 8:50:04 PM
