Depart,Destination,Drive-up,Vessel,timestamp
05:25 PM,Kingston,0 Spaces,Suquamish,6/4/2025 5:05:41 PM
06:15 PM,Kingston,177 Spaces,Spokane,6/4/2025 5:05:41 PM
07:00 PM,Kingston,141 Spaces,Suquamish,6/4/2025 5:05:41 PM
07:40 PM,Kingston,186 Spaces,Spokane,6/4/2025 5:05:41 PM
08:30 PM,Kingston,141 Spaces,Suquamish,6/4/2025 5:05:41 PM
09:05 PM,Kingston,186 Spaces,Spokane,6/4/2025 5:05:41 PM
10:25 PM,Kingston,186 Spaces,Spokane,6/4/2025 5:05:41 PM
11:45 PM,Kingston,186 Spaces,Spokane,6/4/2025 5:05:41 PM
