"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"King","City of Auburn Mayor","Ronnie Morgan"," ","1236","19.3458","City/Town"
"King","City of Auburn Mayor","Nancy Backus"," ","3716","58.1625","City/Town"
"King","City of Auburn Mayor","Yolanda Trout"," ","1394","21.8188","City/Town"
"King","City of Auburn Mayor","WRITE-IN"," ","43","0.673","City/Town"
"King","City of Auburn Council Position No. 4","Brian Lott"," ","2909","47.1781","City/Town"
"King","City of Auburn Council Position No. 4","Erica Tomas"," ","2246","36.4256","City/Town"
"King","City of Auburn Council Position No. 4","Yuval Fleming"," ","984","15.9585","City/Town"
"King","City of Auburn Council Position No. 4","WRITE-IN"," ","27","0.4379","City/Town"
"King","City of Auburn Council Position No. 6","Cobi Clark"," ","1854","30.0681","City/Town"
"King","City of Auburn Council Position No. 6","Lisa M. Stirgus"," ","2923","47.4051","City/Town"
"King","City of Auburn Council Position No. 6","James Jeyaraj"," ","1355","21.9753","City/Town"
"King","City of Auburn Council Position No. 6","WRITE-IN"," ","34","0.5514","City/Town"
"King","City of Bellevue Council Position No. 1","Nicholas Ton"," ","1730","10.4387","City/Town"
"King","City of Bellevue Council Position No. 1","Vishal Bhargava"," ","5833","35.1958","City/Town"
"King","City of Bellevue Council Position No. 1","Eddie Chang"," ","2268","13.6849","City/Town"
"King","City of Bellevue Council Position No. 1","Paul Clark"," ","6701","40.4332","City/Town"
"King","City of Bellevue Council Position No. 1","WRITE-IN"," ","41","0.2474","City/Town"
"King","City of Bellevue Council Position No. 6","Nicole Myers"," ","2634","15.8608","City/Town"
"King","City of Bellevue Council Position No. 6","Alex Tsimerman"," ","907","5.4616","City/Town"
"King","City of Bellevue Council Position No. 6","Lynne Robinson"," ","11367","68.447","City/Town"
"King","City of Bellevue Council Position No. 6","Allen Chongtai Huang"," ","1651","9.9416","City/Town"
"King","City of Bellevue Council Position No. 6","WRITE-IN"," ","48","0.289","City/Town"
"King","CITY OF BLACK DIAMOND Mayor","John Adler"," ","688","41.1976","City/Town"
"King","CITY OF BLACK DIAMOND Mayor","Tamie L.Boxx-Deady"," ","262","15.6886","City/Town"
"King","CITY OF BLACK DIAMOND Mayor","Geoff Bowie"," ","718","42.994","City/Town"
"King","CITY OF BLACK DIAMOND Mayor","WRITE-IN"," ","2","0.1198","City/Town"
"King","CITY OF BLACK DIAMOND Council Position No. 6","Jonathan Englund"," ","563","35.1875","City/Town"
"King","CITY OF BLACK DIAMOND Council Position No. 6","Dan Dal Santo"," ","851","53.1875","City/Town"
"King","CITY OF BLACK DIAMOND Council Position No. 6","Zack J. Nielsen"," ","183","11.4375","City/Town"
"King","CITY OF BLACK DIAMOND Council Position No. 6","WRITE-IN"," ","3","0.1875","City/Town"
"King","City of Burien Council Position No. 1","Cameron Boosman"," ","377","6.5315","City/Town"
"King","City of Burien Council Position No. 1","Hugo Garcia"," ","2632","45.5994","City/Town"
"King","City of Burien Council Position No. 1","Jessica Ivey"," ","1580","27.3735","City/Town"
"King","City of Burien Council Position No. 1","Claudio Fernandez"," ","1155","20.0104","City/Town"
"King","City of Burien Council Position No. 1","WRITE-IN"," ","28","0.4851","City/Town"
"King","City of Burien Council Position No. 3","Rashell Lisowski"," ","1201","20.927","City/Town"
"King","City of Burien Council Position No. 3","Sam Mendez"," ","2681","46.7155","City/Town"
"King","City of Burien Council Position No. 3","Marie Barbon"," ","1827","31.8348","City/Town"
"King","City of Burien Council Position No. 3","WRITE-IN"," ","30","0.5227","City/Town"
"King","City of Burien Council Position No. 5","Jamie Jo Skeen"," ","814","14.1393","City/Town"
"King","City of Burien Council Position No. 5","Sarah Moore"," ","3563","61.8899","City/Town"
"King","City of Burien Council Position No. 5","Gabriel Fernandez"," ","1349","23.4323","City/Town"
"King","City of Burien Council Position No. 5","WRITE-IN"," ","31","0.5385","City/Town"
"King","City of Enumclaw Council Position No. 5","Dixie Boush"," ","133","6.0953","City/Town"
"King","City of Enumclaw Council Position No. 5","Brodie Smith"," ","999","45.7837","City/Town"
"King","City of Enumclaw Council Position No. 5","Thomas Sauvageau"," ","1023","46.8836","City/Town"
"King","City of Enumclaw Council Position No. 5","WRITE-IN"," ","27","1.2374","City/Town"
"King","CITY OF FEDERAL WAY Mayor","Chris D. Chung"," ","589","6.5795","City/Town"
"King","CITY OF FEDERAL WAY Mayor","Jim Ferrell"," ","4935","55.1273","City/Town"
"King","CITY OF FEDERAL WAY Mayor","Susan Honda"," ","2022","22.5871","City/Town"
"King","CITY OF FEDERAL WAY Mayor","Saudia Abdullah"," ","1378","15.3932","City/Town"
"King","CITY OF FEDERAL WAY Mayor","WRITE-IN"," ","28","0.3128","City/Town"
"King","CITY OF FEDERAL WAY Council Position No. 2","Nathan J Orth"," ","1538","18.0157","City/Town"
"King","CITY OF FEDERAL WAY Council Position No. 2","Martin A. Moore"," ","5709","66.8736","City/Town"
"King","CITY OF FEDERAL WAY Council Position No. 2","Paul McDaniel"," ","1259","14.7476","City/Town"
"King","CITY OF FEDERAL WAY Council Position No. 2","WRITE-IN"," ","31","0.3631","City/Town"
"King","CITY OF KENMORE Council Position No. 2","Tracy Banaszynski"," ","1556","41.0446","City/Town"
"King","CITY OF KENMORE Council Position No. 2","Joe Marshall"," ","1518","40.0422","City/Town"
"King","CITY OF KENMORE Council Position No. 2","Caitlin Sullivan"," ","681","17.9636","City/Town"
"King","CITY OF KENMORE Council Position No. 2","WRITE-IN"," ","36","0.9496","City/Town"
"King","City of Kent Council Position No. 6","RoseLynne P McCarter"," ","433","4.0642","City/Town"
"King","City of Kent Council Position No. 6","Starre Quinones"," ","449","4.2144","City/Town"
"King","City of Kent Council Position No. 6","Logan Evans"," ","1747","16.3976","City/Town"
"King","City of Kent Council Position No. 6","Tod Oyefeso"," ","1158","10.8692","City/Town"
"King","City of Kent Council Position No. 6","Jamie Lee"," ","1279","12.0049","City/Town"
"King","City of Kent Council Position No. 6","Andy Song"," ","2003","18.8005","City/Town"
"King","City of Kent Council Position No. 6","Sharn Shoker"," ","3538","33.2082","City/Town"
"King","City of Kent Council Position No. 6","WRITE-IN"," ","47","0.4411","City/Town"
"King","City of Kirkland Council Position No. 3","Clayton Barnes"," ","2031","16.2195","City/Town"
"King","City of Kirkland Council Position No. 3","Shilpa Prem"," ","4734","37.8055","City/Town"
"King","City of Kirkland Council Position No. 3","Catie Malik"," ","3602","28.7654","City/Town"
"King","City of Kirkland Council Position No. 3","Gina Madeya"," ","2113","16.8743","City/Town"
"King","City of Kirkland Council Position No. 3","WRITE-IN"," ","42","0.3354","City/Town"
"King","City of Kirkland Council Position No. 7","Kurt Dresner"," ","5141","41.2501","City/Town"
"King","City of Kirkland Council Position No. 7","Jon Pascal"," ","6649","53.3499","City/Town"
"King","City of Kirkland Council Position No. 7","Susan Pederson"," ","609","4.8865","City/Town"
"King","City of Kirkland Council Position No. 7","WRITE-IN"," ","64","0.5135","City/Town"
"King","City of Lake Forest Park Council Position No. 1","Bryce James"," ","1325","44.9762","City/Town"
"King","City of Lake Forest Park Council Position No. 1","Victoria Grant"," ","233","7.909","City/Town"
"King","City of Lake Forest Park Council Position No. 1","Semra Riddle"," ","1378","46.7753","City/Town"
"King","City of Lake Forest Park Council Position No. 1","WRITE-IN"," ","10","0.3394","City/Town"
"King","CITY OF MILTON Mayor","Steve Whitaker"," ","67","28.27","City/Town"
"King","CITY OF MILTON Mayor","Megan Sheridan"," ","82","34.5992","City/Town"
"King","CITY OF MILTON Mayor","Bruce White"," ","88","37.1308","City/Town"
"King","CITY OF MILTON Mayor","WRITE-IN"," ","0","0","City/Town"
"King","City of Redmond Council Position No. 2","Steve Fields"," ","2552","33.057","City/Town"
"King","City of Redmond Council Position No. 2","Vivek Prakriya"," ","3696","47.8756","City/Town"
"King","City of Redmond Council Position No. 2","Lea Ellis"," ","1461","18.9249","City/Town"
"King","City of Redmond Council Position No. 2","WRITE-IN"," ","11","0.1425","City/Town"
"King","City of Redmond Council Position No. 4","Elinor Krits"," ","818","10.7405","City/Town"
"King","City of Redmond Council Position No. 4","Melissa Stuart"," ","4953","65.0341","City/Town"
"King","City of Redmond Council Position No. 4","Kay Asai"," ","1819","23.8839","City/Town"
"King","City of Redmond Council Position No. 4","WRITE-IN"," ","26","0.3414","City/Town"
"King","City of Redmond Council Position No. 6","Jeralee Anderson"," ","3153","41.7174","City/Town"
"King","City of Redmond Council Position No. 6","Menka Soni"," ","3220","42.6039","City/Town"
"King","City of Redmond Council Position No. 6","Vijay Beniwal"," ","1149","15.2024","City/Town"
"King","City of Redmond Council Position No. 6","WRITE-IN"," ","36","0.4763","City/Town"
"King","CITY OF RENTON Council Position No. 1","James Alberson"," ","5464","57.7163","City/Town"
"King","CITY OF RENTON Council Position No. 1","Michael Westgaard"," ","3010","31.7947","City/Town"
"King","CITY OF RENTON Council Position No. 1","Gwendolyn Hosea-Mimms"," ","900","9.5067","City/Town"
"King","CITY OF RENTON Council Position No. 1","WRITE-IN"," ","93","0.9824","City/Town"
"King","CITY OF RENTON Council Position No. 2","Mary Clymer"," ","2789","28.9285","City/Town"
"King","CITY OF RENTON Council Position No. 2","Raman Mann"," ","2502","25.9517","City/Town"
"King","CITY OF RENTON Council Position No. 2","Carmen Rivera"," ","4282","44.4145","City/Town"
"King","CITY OF RENTON Council Position No. 2","WRITE-IN"," ","68","0.7053","City/Town"
"King","City of Sammamish Council Position No. 5","Lin Yang"," ","4248","44.0984","City/Town"
"King","City of Sammamish Council Position No. 5","Michael Boyer"," ","3403","35.3265","City/Town"
"King","City of Sammamish Council Position No. 5","Karthik Seetharaman"," ","1954","20.2844","City/Town"
"King","City of Sammamish Council Position No. 5","WRITE-IN"," ","28","0.2907","City/Town"
"King","City of SeaTac Council Position No. 6","Michael Sanford"," ","915","40.0613","City/Town"
"King","City of SeaTac Council Position No. 6","Marianne West"," ","413","18.0823","City/Town"
"King","City of SeaTac Council Position No. 6","Bedria Abdullahi"," ","948","41.5061","City/Town"
"King","City of SeaTac Council Position No. 6","WRITE-IN"," ","8","0.3503","City/Town"
"King","City of Seattle Mayor","Joe Mallahan"," ","5333","4.633","City/Town"
"King","City of Seattle Mayor","Ry Armstrong"," ","1223","1.0625","City/Town"
"King","City of Seattle Mayor","Isaiah Willoughby"," ","526","0.457","City/Town"
"King","City of Seattle Mayor","Bruce Harrell"," ","50061","43.4897","City/Town"
"King","City of Seattle Mayor","Clinton Bliss"," ","1419","1.2327","City/Town"
"King","City of Seattle Mayor","Thaddeus Whelan"," ","483","0.4196","City/Town"
"King","City of Seattle Mayor","Joe Molloy"," ","482","0.4187","City/Town"
"King","City of Seattle Mayor","Katie Wilson"," ","55214","47.9663","City/Town"
"King","City of Seattle Mayor","WRITE-IN"," ","369","0.3206","City/Town"
"King","City of Seattle City Attorney","Ann Davison"," ","40419","35.758","City/Town"
"King","City of Seattle City Attorney","Rory O'Sullivan"," ","6920","6.122","City/Town"
"King","City of Seattle City Attorney","Nathan Rouse"," ","5522","4.8852","City/Town"
"King","City of Seattle City Attorney","Erika Evans"," ","59882","52.9765","City/Town"
"King","City of Seattle City Attorney","WRITE-IN"," ","292","0.2583","City/Town"
"King","SEATTLE CITY COUNCIL DISTRICT 2 Council District No. 2","Adonis Ducksworth"," ","4233","30.0896","City/Town"
"King","SEATTLE CITY COUNCIL DISTRICT 2 Council District No. 2","Eddie Lin"," ","6475","46.0264","City/Town"
"King","SEATTLE CITY COUNCIL DISTRICT 2 Council District No. 2","Jamie Fackler"," ","1491","10.5985","City/Town"
"King","SEATTLE CITY COUNCIL DISTRICT 2 Council District No. 2","Jeanie Chunn"," ","1791","12.731","City/Town"
"King","SEATTLE CITY COUNCIL DISTRICT 2 Council District No. 2","WRITE-IN"," ","78","0.5544","City/Town"
"King","City of Seattle Council Position No. 8","Jesse A. James"," ","2845","2.6223","City/Town"
"King","City of Seattle Council Position No. 8","Cooper Hall"," ","1511","1.3927","City/Town"
"King","City of Seattle Council Position No. 8","Alexis Mercedes Rinck"," ","83058","76.5554","City/Town"
"King","City of Seattle Council Position No. 8","Rachael Savage"," ","15319","14.1197","City/Town"
"King","City of Seattle Council Position No. 8","Ray A. Rogers"," ","5052","4.6565","City/Town"
"King","City of Seattle Council Position No. 8","WRITE-IN"," ","709","0.6535","City/Town"
"King","City of Seattle Council Position No. 9","Connor Nash"," ","3581","3.1789","City/Town"
"King","City of Seattle Council Position No. 9","Dionne Foster"," ","62596","55.5678","City/Town"
"King","City of Seattle Council Position No. 9","Sara Nelson"," ","42415","37.6527","City/Town"
"King","City of Seattle Council Position No. 9","Mia Jacobson"," ","3801","3.3742","City/Town"
"King","City of Seattle Council Position No. 9","WRITE-IN"," ","255","0.2264","City/Town"
"King","City of Seattle Proposition No. 1","Yes"," ","65418","57.0355","City/Town"
"King","City of Seattle Proposition No. 1","No"," ","49279","42.9645","City/Town"
"King","City of Snoqualmie Mayor","Marcus Johnson"," ","416","23.4498","City/Town"
"King","City of Snoqualmie Mayor","Jim Mayhew"," ","671","37.8241","City/Town"
"King","City of Snoqualmie Mayor","Katherine Ross"," ","548","30.8906","City/Town"
"King","City of Snoqualmie Mayor","Matthew Mullvain"," ","138","7.779","City/Town"
"King","City of Snoqualmie Mayor","WRITE-IN"," ","1","0.0564","City/Town"
"King","City of Tukwila Council Position No. 7","Max McCallum"," ","156","9.3637","City/Town"
"King","City of Tukwila Council Position No. 7","Krysteena Mann"," ","312","18.7275","City/Town"
"King","City of Tukwila Council Position No. 7","Jane Ho"," ","773","46.3986","City/Town"
"King","City of Tukwila Council Position No. 7","Gina Bernhardt Nielsen"," ","406","24.3697","City/Town"
"King","City of Tukwila Council Position No. 7","WRITE-IN"," ","19","1.1405","City/Town"
"King","City of Woodinville Council Position No. 3","Amber Wise"," ","552","24.9435","City/Town"
"King","City of Woodinville Council Position No. 3","Rebecca Elbaum"," ","487","22.0063","City/Town"
"King","City of Woodinville Council Position No. 3","Rachel Best-Campbell"," ","599","27.0673","City/Town"
"King","City of Woodinville Council Position No. 3","Luke Bakun"," ","261","11.7939","City/Town"
"King","City of Woodinville Council Position No. 3","Troy Anderson"," ","308","13.9178","City/Town"
"King","City of Woodinville Council Position No. 3","WRITE-IN"," ","6","0.2711","City/Town"
"King","City of Woodinville Council Position No. 5","Bobby Amiri"," ","316","14.3702","City/Town"
"King","City of Woodinville Council Position No. 5","Sarah Arndt"," ","1351","61.437","City/Town"
"King","City of Woodinville Council Position No. 5","Tanner Mills"," ","225","10.2319","City/Town"
"King","City of Woodinville Council Position No. 5","Susan Milke"," ","300","13.6426","City/Town"
"King","City of Woodinville Council Position No. 5","WRITE-IN"," ","7","0.3183","City/Town"
"King","City of Woodinville Council Position No. 7","Brandon Finley"," ","223","10.0586","City/Town"
"King","City of Woodinville Council Position No. 7","James Randolph"," ","1461","65.8999","City/Town"
"King","City of Woodinville Council Position No. 7","Jaren Hanson"," ","525","23.6806","City/Town"
"King","City of Woodinville Council Position No. 7","WRITE-IN"," ","8","0.3608","City/Town"
"King","HIGHLINE SCHOOL DISTRICT NO. 401 Director District No. 4","Ken Kemp"," ","6137","43.1575","School"
"King","HIGHLINE SCHOOL DISTRICT NO. 401 Director District No. 4","Damarys Espinoza"," ","6477","45.5485","School"
"King","HIGHLINE SCHOOL DISTRICT NO. 401 Director District No. 4","Shirley-Nita Enninful"," ","1531","10.7665","School"
"King","HIGHLINE SCHOOL DISTRICT NO. 401 Director District No. 4","WRITE-IN"," ","75","0.5274","School"
"King","Issaquah School District No. 411 Director District No. 2","Chinmay Nagarkar"," ","6371","38.6145","School"
"King","Issaquah School District No. 411 Director District No. 2","Natalie Anderson"," ","4515","27.3653","School"
"King","Issaquah School District No. 411 Director District No. 2","Lovenia Hardin"," ","3049","18.4799","School"
"King","Issaquah School District No. 411 Director District No. 2","Jarrod Huffaker"," ","231","1.4001","School"
"King","Issaquah School District No. 411 Director District No. 2","Darren Cheung"," ","2222","13.4675","School"
"King","Issaquah School District No. 411 Director District No. 2","WRITE-IN"," ","111","0.6728","School"
"King","Kent School District No. 415 Director District No. 4","Carolyn Wilsie-Kendall"," ","5459","32.8321","School"
"King","Kent School District No. 415 Director District No. 4","Teresa Gregory"," ","6957","41.8416","School"
"King","Kent School District No. 415 Director District No. 4","Zac Fister"," ","4117","24.7609","School"
"King","Kent School District No. 415 Director District No. 4","WRITE-IN"," ","94","0.5653","School"
"King","Kent School District No. 415 Director District No. 5","Laura Jensen"," ","3240","19.3317","School"
"King","Kent School District No. 415 Director District No. 5","Jane Smith"," ","5213","31.1038","School"
"King","Kent School District No. 415 Director District No. 5","Laura Williams"," ","8194","48.8902","School"
"King","Kent School District No. 415 Director District No. 5","WRITE-IN"," ","113","0.6742","School"
"King","Lake Washington School District No. 414 Director District No. 3","Angela Meekhof"," ","14891","55.8888","School"
"King","Lake Washington School District No. 414 Director District No. 3","Aiya Kravi"," ","3877","14.5511","School"
"King","Lake Washington School District No. 414 Director District No. 3","Susan Hughes"," ","7777","29.1886","School"
"King","Lake Washington School District No. 414 Director District No. 3","WRITE-IN"," ","99","0.3716","School"
"King","Lake Washington School District No. 414 Director District No. 4","Kim Martin"," ","5072","19.2464","School"
"King","Lake Washington School District No. 414 Director District No. 4","Aspen Richter"," ","16318","61.9208","School"
"King","Lake Washington School District No. 414 Director District No. 4","Mark W. Stuart"," ","4810","18.2522","School"
"King","Lake Washington School District No. 414 Director District No. 4","WRITE-IN"," ","153","0.5806","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1","Brian Travis"," ","2105","15.3058","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1","Carson Sanderson"," ","7435","54.0609","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1","Arun Sharma"," ","4139","30.0953","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1","WRITE-IN"," ","74","0.5381","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4","Sandy R Hayes"," ","8190","59.01","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4","Sehaj Dhaliwal"," ","1937","13.9563","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4","JoAnn Tolentino"," ","3707","26.7094","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4","WRITE-IN"," ","45","0.3242","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5","Kimberlee Kelly"," ","8768","63.707","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5","Holly Muenchow"," ","1654","12.0177","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5","Lynda Schram"," ","3291","23.9119","School"
"King","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5","WRITE-IN"," ","50","0.3633","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 2 Director District No. 2","Eric Feeny"," ","2048","10.495","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 2 Director District No. 2","Sarah Clark"," ","8410","43.0973","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 2 Director District No. 2","Kathleen Smith"," ","8961","45.9209","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 2 Director District No. 2","WRITE-IN"," ","95","0.4868","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 4 Director District No. 4","Harsimran Kaur"," ","87","0.7092","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 4 Director District No. 4","Gloria Suella Menchaca"," ","717","5.8445","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 4 Director District No. 4","Joe Mizrahi"," ","8412","68.5686","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 4 Director District No. 4","Bill Campbell"," ","798","6.5047","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 4 Director District No. 4","Laura Marie Rivera"," ","2188","17.835","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 4 Director District No. 4","WRITE-IN"," ","66","0.538","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 5 Director District No. 5","Vivian Song"," ","12366","73.2453","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 5 Director District No. 5","Vivian van Gelder"," ","369","2.1856","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 5 Director District No. 5","Landon Labosky"," ","451","2.6713","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 5 Director District No. 5","Allycea Weil"," ","396","2.3456","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 5 Director District No. 5","Julissa Sanchez"," ","591","3.5006","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 5 Director District No. 5","Janis White"," ","2656","15.7318","School"
"King","SEATTLE SCHOOL DIRECTOR DISTRICT NO. 5 Director District No. 5","WRITE-IN"," ","54","0.3198","School"
"King","Shoreline School District No. 412 Proposition No. 1","Yes"," ","9404","74.3634","School"
"King","Shoreline School District No. 412 Proposition No. 1","No"," ","3242","25.6366","School"
"King","Tahoma School District No. 409 Director District No. 4","Kristi Krumperman"," ","1243","19.0937","School"
"King","Tahoma School District No. 409 Director District No. 4","Nina Rose"," ","2756","42.3349","School"
"King","Tahoma School District No. 409 Director District No. 4","Devin Leshin"," ","1102","16.9278","School"
"King","Tahoma School District No. 409 Director District No. 4","Imani Torruella-Miller"," ","410","6.298","School"
"King","Tahoma School District No. 409 Director District No. 4","Dan Abbott"," ","952","14.6237","School"
"King","Tahoma School District No. 409 Director District No. 4","WRITE-IN"," ","47","0.722","School"
"King","Tahoma School District No. 409 Director District No. 5","Kelsi Hays"," ","1670","25.4923","School"
"King","Tahoma School District No. 409 Director District No. 5","Elizabeth (Liz) Karkoski-Gardner"," ","1787","27.2783","School"
"King","Tahoma School District No. 409 Director District No. 5","Zach Butala"," ","3045","46.4815","School"
"King","Tahoma School District No. 409 Director District No. 5","WRITE-IN"," ","49","0.748","School"
"King","Tukwila School District No. 406 Director District No. 3","Charles Simpson"," ","453","31.4583","School"
"King","Tukwila School District No. 406 Director District No. 3","Ara Papyan"," ","728","50.5556","School"
"King","Tukwila School District No. 406 Director District No. 3","Brandon Eastman"," ","248","17.2222","School"
"King","Tukwila School District No. 406 Director District No. 3","WRITE-IN"," ","11","0.7639","School"
"King","King County Fire Protection District No. 40 Proposition No. 1","Approved"," ","2162","77.1041","Fire"
"King","King County Fire Protection District No. 40 Proposition No. 1","Rejected"," ","642","22.8959","Fire"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 2","Jeff Coop"," ","903","7.8707","Water"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 2","Travis Baker"," ","1367","11.9149","Water"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 2","Juan Juarez"," ","8312","72.4484","Water"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 2","Ilya Kukhar"," ","758","6.6068","Water"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 2","WRITE-IN"," ","133","1.1592","Water"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 4","Daniel Kukhar"," ","1127","9.4754","Water"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 4","Laura Belvin"," ","9765","82.1002","Water"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 4","Shura Grigorenko"," ","958","8.0545","Water"
"King","LAKEHAVEN WATER AND SEWER DISTRICT Commissioner Position No. 4","WRITE-IN"," ","44","0.3699","Water"
"King","Public Hospital District No. 2 Proposition No. 1","Approved"," ","28774","60.6279","Hospital"
"King","Public Hospital District No. 2 Proposition No. 1","Rejected"," ","18686","39.3721","Hospital"
"King","Public Hospital District No. 4 Commissioner Position No. 2","Gary A Norris"," ","460","7.1987","Hospital"
"King","Public Hospital District No. 4 Commissioner Position No. 2","Robert Angrisano"," ","2499","39.108","Hospital"
"King","Public Hospital District No. 4 Commissioner Position No. 2","Mark L. Bowers"," ","3384","52.9577","Hospital"
"King","Public Hospital District No. 4 Commissioner Position No. 2","WRITE-IN"," ","47","0.7355","Hospital"
"Kitsap","Kitsap County Rural Library Proposition No. 1","Yes"," ","31595","60.6162","Library"
"Kitsap","Kitsap County Rural Library Proposition No. 1","No"," ","20528","39.3838","Library"
"Kitsap","LEGISLATIVE DISTRICT 26 State Senator","Michelle Caldier","(Prefers Republican Party)","7780","48.8509","Legislative"
"Kitsap","LEGISLATIVE DISTRICT 26 State Senator","Deb Krishnadasan","(Prefers Democratic Party)","8102","50.8728","Legislative"
"Kitsap","LEGISLATIVE DISTRICT 26 State Senator","WRITE-IN"," ","44","0.2763","Legislative"
"Kitsap","City of Bainbridge Island South Ward Council District 3 South Ward","Sarah M Blossom"," ","804","33.0185","City/Town"
"Kitsap","City of Bainbridge Island South Ward Council District 3 South Ward","Mike Nelson"," ","1002","41.1499","City/Town"
"Kitsap","City of Bainbridge Island South Ward Council District 3 South Ward","Dawn Janow"," ","624","25.6263","City/Town"
"Kitsap","City of Bainbridge Island South Ward Council District 3 South Ward","WRITE-IN"," ","5","0.2053","City/Town"
"Kitsap","City of Bremerton Mayor","Greg Wheeler"," ","2881","50.473","City/Town"
"Kitsap","City of Bremerton Mayor","Marwan Cameron"," ","875","15.3294","City/Town"
"Kitsap","City of Bremerton Mayor","Jeff Coughlin"," ","1902","33.3217","City/Town"
"Kitsap","City of Bremerton Mayor","WRITE-IN"," ","50","0.876","City/Town"
"Kitsap","City of Bremerton Council District 3 Council District 3","Ash Black"," ","162","14.7407","City/Town"
"Kitsap","City of Bremerton Council District 3 Council District 3","Michael Simonds"," ","425","38.6715","City/Town"
"Kitsap","City of Bremerton Council District 3 Council District 3","Christy Cammarata"," ","501","45.5869","City/Town"
"Kitsap","City of Bremerton Council District 3 Council District 3","WRITE-IN"," ","11","1.0009","City/Town"
"Kitsap","Bremerton School District No. 100-C Director Position 4","Chris Warthen"," ","1592","24.1615","School"
"Kitsap","Bremerton School District No. 100-C Director Position 4","Jenny Farley"," ","2223","33.738","School"
"Kitsap","Bremerton School District No. 100-C Director Position 4","Shannon Turner"," ","2692","40.856","School"
"Kitsap","Bremerton School District No. 100-C Director Position 4","WRITE-IN"," ","82","1.2445","School"
"Kitsap","Bremerton School District No. 100-C Director Position 5","Mary C Devery"," ","1739","26.3725","School"
"Kitsap","Bremerton School District No. 100-C Director Position 5","Linda Osborn Simpson"," ","2073","31.4377","School"
"Kitsap","Bremerton School District No. 100-C Director Position 5","Ben Anderson"," ","2739","41.5378","School"
"Kitsap","Bremerton School District No. 100-C Director Position 5","WRITE-IN"," ","43","0.6521","School"
"Kitsap","North Kitsap School District No. 400 Director District 1","Seth Hartmann"," ","2249","24.9695","School"
"Kitsap","North Kitsap School District No. 400 Director District 1","Debra Strawhun"," ","3596","39.9245","School"
"Kitsap","North Kitsap School District No. 400 Director District 1","Leighton Thomas"," ","3079","34.1845","School"
"Kitsap","North Kitsap School District No. 400 Director District 1","WRITE-IN"," ","83","0.9215","School"
"Kittitas","HOSPITAL DISTRICT 1 Commissioner 1","Daniel Arnold"," ","1897","39.4223","Hospital"
"Kittitas","HOSPITAL DISTRICT 1 Commissioner 1","Jessica Orndorff"," ","376","7.8138","Hospital"
"Kittitas","HOSPITAL DISTRICT 1 Commissioner 1","Terry Clark"," ","2488","51.7041","Hospital"
"Kittitas","HOSPITAL DISTRICT 1 Commissioner 1","WRITE-IN"," ","51","1.0599","Hospital"
