"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Benton","City Of Richland Council Pos. 7","Ryan Whitten"," ","2696","36.6056","City/Town"
"Benton","City Of Richland Council Pos. 7","WRITE-IN"," ","12","0.1629","City/Town"
"Benton","Kennewick School District 17 Director No. 1","Mike Luzzo"," ","572","6.0516","School"
"Benton","Kennewick School District 17 Director No. 1","Robert Franklin"," ","3613","38.2247","School"
"Benton","Kennewick School District 17 Director No. 1","Micah Valentine"," ","5233","55.3639","School"
"Benton","Kennewick School District 17 Director No. 1","WRITE-IN"," ","34","0.3597","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Cecilia Lamas Noriega"," ","1","3.4483","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Amanda Rodriguez"," ","7","24.1379","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Elena Olmstead"," ","21","72.4138","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","WRITE-IN"," ","0","0","School"
"Benton","Fire District #1 Proposition No. 1","Approved"," ","1491","60.0242","Fire"
"Benton","Fire District #1 Proposition No. 1","Rejected"," ","993","39.9758","Fire"
"Chelan","CITY OF WENATCHEE Proposition No. 1","Yes"," ","2839","47.5146","City/Town"
"Chelan","CITY OF WENATCHEE Proposition No. 1","No"," ","3136","52.4854","City/Town"
"Chelan","FIRE DISTRICT NO. 5 Proposition No. 1","Yes"," ","698","75.8696","Fire"
"Chelan","FIRE DISTRICT NO. 5 Proposition No. 1","No"," ","222","24.1304","Fire"
"Chelan","FIRE DISTRICT NO. 6 Proposition No. 1","Approved"," ","1164","70.8029","Fire"
"Chelan","FIRE DISTRICT NO. 6 Proposition No. 1","Rejected"," ","480","29.1971","Fire"
"Chelan","FIRE DISTRICT NO. 9 Proposition No. 1","APPROVED?"," ","493","60.122","Fire"
"Chelan","FIRE DISTRICT NO. 9 Proposition No. 1","REJECTED?"," ","327","39.878","Fire"
"Chelan","CASHMERE SCHOOL DISTRICT NO. 222 School Board Member Director District #5 At Large","Mike Ledbetter"," ","563","32.1531","School"
"Chelan","CASHMERE SCHOOL DISTRICT NO. 222 School Board Member Director District #5 At Large","Mark Shorb"," ","504","28.7836","School"
"Chelan","CASHMERE SCHOOL DISTRICT NO. 222 School Board Member Director District #5 At Large","Aaron Lowers"," ","680","38.835","School"
"Chelan","CASHMERE SCHOOL DISTRICT NO. 222 School Board Member Director District #5 At Large","WRITE-IN"," ","4","0.2284","School"
"Chelan","MANSON SCHOOL DISTRICT NO. 19 School Board Member Director District #4 At Large","Ivan De Jesus"," ","100","11.0497","School"
"Chelan","MANSON SCHOOL DISTRICT NO. 19 School Board Member Director District #4 At Large","Krysta Westmoreland"," ","469","51.8232","School"
"Chelan","MANSON SCHOOL DISTRICT NO. 19 School Board Member Director District #4 At Large","Aurora Flores"," ","329","36.3536","School"
"Chelan","MANSON SCHOOL DISTRICT NO. 19 School Board Member Director District #4 At Large","WRITE-IN"," ","7","0.7735","School"
"Chelan","CITY OF CHELAN Council Member #7","Ben Laughlin"," ","353","34.5064","City/Town"
"Chelan","CITY OF CHELAN Council Member #7","Shane Collins"," ","394","38.5142","City/Town"
"Chelan","CITY OF CHELAN Council Member #7","Jennifer S. Steiner"," ","145","14.174","City/Town"
"Chelan","CITY OF CHELAN Council Member #7","Todd V Higley"," ","130","12.7077","City/Town"
"Chelan","CITY OF CHELAN Council Member #7","WRITE-IN"," ","1","0.0978","City/Town"
"Clallam","HOSPITAL DISTRICT 2 Commissioner Position No. 7","Mic Sager"," ","1313","11.363","Hospital"
"Clallam","HOSPITAL DISTRICT 2 Commissioner Position No. 7","Laurie Force"," ","3777","32.6871","Hospital"
"Clallam","HOSPITAL DISTRICT 2 Commissioner Position No. 7","Penney Sanders"," ","6359","55.0325","Hospital"
"Clallam","HOSPITAL DISTRICT 2 Commissioner Position No. 7","WRITE-IN"," ","106","0.9174","Hospital"
"Clallam","CITY OF PORT ANGELES Council Position No. 1","Gilbert Hall"," ","442","17.4842","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 1","James Taylor"," ","777","30.7358","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 1","LaTrisha Suggs"," ","1304","51.5823","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 1","WRITE-IN"," ","5","0.1978","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 4","Ralph Davisson"," ","296","11.7274","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 4","Marolee &quot;Mimi&quot; Smith Dvorak"," ","673","26.664","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 4","Kate Dexter"," ","1542","61.0935","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 4","WRITE-IN"," ","13","0.5151","City/Town"
"Clallam","PORT ANGELES SCHOOL DISTRICT 121 Director Position No. 1","Kim Butler"," ","510","12.1457","School"
"Clallam","PORT ANGELES SCHOOL DISTRICT 121 Director Position No. 1","Ruth Replogle"," ","455","10.8359","School"
"Clallam","PORT ANGELES SCHOOL DISTRICT 121 Director Position No. 1","Ned Hammar"," ","1374","32.7221","School"
"Clallam","PORT ANGELES SCHOOL DISTRICT 121 Director Position No. 1","Sarah Methner"," ","1841","43.8438","School"
"Clallam","PORT ANGELES SCHOOL DISTRICT 121 Director Position No. 1","WRITE-IN"," ","19","0.4525","School"
"Clallam","FIRE DISTRICT 3 Property Tax Levy to Maintain and Adequately Fund District Operations","YES"," ","5530","64.1383","Fire"
"Clallam","FIRE DISTRICT 3 Property Tax Levy to Maintain and Adequately Fund District Operations","NO"," ","3092","35.8617","Fire"
"Clark","CITY OF VANCOUVER COUNCIL - POSITION NO. 1","Ron Willis"," ","4281","13.6725","City/Town"
"Clark","CITY OF VANCOUVER COUNCIL - POSITION NO. 1","Pooneh Gray"," ","9215","29.4306","City/Town"
"Clark","CITY OF VANCOUVER COUNCIL - POSITION NO. 1","Kim D. Harless"," ","17602","56.2167","City/Town"
"Clark","CITY OF VANCOUVER COUNCIL - POSITION NO. 1","WRITE-IN"," ","213","0.6803","City/Town"
"Clark","FT VANCOUVER REGIONAL LIBRARY DIST. Proposition No. 1","Yes"," ","48880","54.3093","Library"
"Clark","FT VANCOUVER REGIONAL LIBRARY DIST. Proposition No. 1","No"," ","41123","45.6907","Library"
"Cowlitz","City of Kelso Council Position 3","Jackie Collins"," ","353","39.3096","City/Town"
"Cowlitz","City of Kelso Council Position 3","Kimberly Lefebvre"," ","362","40.3118","City/Town"
"Cowlitz","City of Kelso Council Position 3","Sean Legry"," ","171","19.0423","City/Town"
"Cowlitz","City of Kelso Council Position 3","WRITE-IN"," ","12","1.3363","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 5","Mike Claxton"," ","2198","37.1975","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 5","PJ Peterson"," ","1817","30.7497","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 5","Nic Aguirre"," ","1884","31.8836","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 5","WRITE-IN"," ","10","0.1692","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 6","Oliver Black"," ","1900","32.8379","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 6","Chris Bryant"," ","2264","39.1289","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 6","Josh Carter"," ","1602","27.6875","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 6","WRITE-IN"," ","20","0.3457","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 7","Wayne Nichols"," ","2782","46.8508","City/Town"
