Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kennewick,Port Townsend,Keystone,06:30,06:30,06:56,07/31/2026,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:42,07/31/2026,
Kennewick,Port Townsend,Keystone,08:00,08:01,08:28,07/31/2026,
Kennewick,Keystone,Port Townsend,08:45,08:46,09:21,07/31/2026,
Kennewick,Port Townsend,Keystone,09:30,09:37,10:05,07/31/2026,
Kennewick,Keystone,Port Townsend,10:15,10:22,10:49,07/31/2026,
Kennewick,Port Townsend,Keystone,11:00,11:07,11:33,07/31/2026,
Kennewick,Keystone,Port Townsend,11:45,11:56,12:25,07/31/2026,
Kennewick,Port Townsend,Keystone,12:30,12:44,13:10,07/31/2026,
Kennewick,Keystone,Port Townsend,13:15,13:28,13:57,07/31/2026,
Kennewick,Port Townsend,Keystone,14:00,14:15,14:41,07/31/2026,
Kennewick,Keystone,Port Townsend,14:45,14:59,15:27,07/31/2026,
Kennewick,Port Townsend,Keystone,15:30,15:44,16:12,07/31/2026,
Kennewick,Keystone,Port Townsend,16:15,16:29,16:58,07/31/2026,
Kennewick,Port Townsend,Keystone,17:15,17:16,17:44,07/31/2026,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:37,07/31/2026,
Kennewick,Port Townsend,Keystone,18:45,18:50,19:17,07/31/2026,
Kennewick,Keystone,Port Townsend,19:30,19:30,20:00,07/31/2026,
Kennewick,Port Townsend,Keystone,20:30,20:31,20:58,07/31/2026,
Kennewick,Keystone,Port Townsend,21:10,21:12,21:40,07/31/2026,
Kennewick,Port Townsend,Keystone,22:00,22:01,22:28,07/31/2026,
Kennewick,Keystone,Port Townsend,22:40,22:41,23:13,07/31/2026,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:56,08/01/2026,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:41,08/01/2026,
Kennewick,Port Townsend,Keystone,08:00,08:01,08:27,08/01/2026,
Kennewick,Keystone,Port Townsend,08:45,08:45,09:13,08/01/2026,
Kennewick,Port Townsend,Keystone,09:30,09:31,09:58,08/01/2026,
Kennewick,Keystone,Port Townsend,10:15,10:16,10:42,08/01/2026,
Kennewick,Port Townsend,Keystone,11:00,11:00,11:27,08/01/2026,
Kennewick,Keystone,Port Townsend,11:45,11:49,12:18,08/01/2026,
Kennewick,Port Townsend,Keystone,12:30,12:36,13:02,08/01/2026,
Kennewick,Keystone,Port Townsend,13:15,13:20,13:48,08/01/2026,
Kennewick,Port Townsend,Keystone,14:00,14:03,14:29,08/01/2026,
Kennewick,Keystone,Port Townsend,14:45,14:45,15:11,08/01/2026,
Kennewick,Port Townsend,Keystone,15:30,15:30,15:57,08/01/2026,
Kennewick,Keystone,Port Townsend,16:15,16:16,16:45,08/01/2026,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:43,08/01/2026,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:33,08/01/2026,
Kennewick,Port Townsend,Keystone,18:45,18:47,19:15,08/01/2026,
Kennewick,Keystone,Port Townsend,19:30,19:32,19:59,08/01/2026,
Kennewick,Port Townsend,Keystone,20:30,20:32,20:59,08/01/2026,
Kennewick,Keystone,Port Townsend,21:10,21:14,21:41,08/01/2026,
Kennewick,Port Townsend,Keystone,22:00,22:00,22:27,08/01/2026,
Kennewick,Keystone,Port Townsend,22:40,22:40,23:11,08/01/2026,
