Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Wenatchee,Bainbridge,Colman,00:00,00:00,00:30,06/01/2026,
Wenatchee,Colman,Bainbridge,00:45,00:46,01:17,06/01/2026,
Wenatchee,Bainbridge,Colman,01:25,01:25,01:56,06/01/2026,
Wenatchee,Colman,Bainbridge,02:10,02:11,02:41,06/01/2026,
Wenatchee,Bainbridge,Colman,05:20,05:21,05:53,06/01/2026,
Wenatchee,Colman,Bainbridge,06:10,06:11,06:46,06/01/2026,
Wenatchee,Bainbridge,Colman,07:05,07:07,07:40,06/01/2026,
Wenatchee,Colman,Bainbridge,07:55,07:59,08:33,06/01/2026,
Wenatchee,Bainbridge,Colman,08:45,08:47,09:21,06/01/2026,
Wenatchee,Colman,Bainbridge,09:35,09:40,10:15,06/01/2026,
Wenatchee,Bainbridge,Colman,10:25,10:28,11:04,06/01/2026,
Wenatchee,Colman,Bainbridge,11:25,11:27,12:06,06/01/2026,
Wenatchee,Bainbridge,Colman,12:20,12:21,12:56,06/01/2026,
Wenatchee,Colman,Bainbridge,13:10,13:17,13:53,06/01/2026,
Wenatchee,Bainbridge,Colman,14:05,14:10,14:40,06/01/2026,
Wenatchee,Colman,Bainbridge,15:00,15:05,15:37,06/01/2026,
Wenatchee,Bainbridge,Colman,15:50,15:57,16:27,06/01/2026,
Wenatchee,Colman,Bainbridge,16:45,16:53,17:26,06/01/2026,
Wenatchee,Bainbridge,Colman,17:35,17:45,18:13,06/01/2026,
Wenatchee,Colman,Bainbridge,18:30,18:31,19:07,06/01/2026,
Wenatchee,Bainbridge,Colman,19:20,19:20,19:53,06/01/2026,
Wenatchee,Colman,Bainbridge,20:15,20:17,20:48,06/01/2026,
Wenatchee,Bainbridge,Colman,21:00,21:00,21:34,06/01/2026,
Wenatchee,Colman,Bainbridge,22:05,22:07,22:39,06/01/2026,
Wenatchee,Bainbridge,Colman,05:20,05:23,05:54,06/02/2026,
Wenatchee,Colman,Bainbridge,06:10,06:11,06:44,06/02/2026,
Wenatchee,Bainbridge,Colman,07:05,07:06,07:38,06/02/2026,
Wenatchee,Colman,Bainbridge,07:55,07:55,08:29,06/02/2026,
Wenatchee,Bainbridge,Colman,08:45,08:46,09:16,06/02/2026,
Wenatchee,Colman,Bainbridge,09:35,09:39,10:12,06/02/2026,
Wenatchee,Bainbridge,Colman,10:25,10:28,10:59,06/02/2026,
Wenatchee,Colman,Bainbridge,11:25,11:28,12:06,06/02/2026,
Wenatchee,Bainbridge,Colman,12:20,12:24,12:56,06/02/2026,
