Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tillikum,Friday Harbor,Orcas,08:45,08:45,09:30,01/01/2026,
Tillikum,Orcas,Shaw,09:45,09:48,09:55,01/01/2026,
Tillikum,Shaw,Lopez,10:00,10:00,10:20,01/01/2026,
Tillikum,Lopez,Friday Harbor,10:30,10:30,11:14,01/01/2026,
Tillikum,Friday Harbor,Orcas,11:30,11:42,12:28,01/01/2026,
Tillikum,Orcas,Shaw,12:50,12:50,12:59,01/01/2026,
Tillikum,Shaw,Lopez,13:05,13:05,13:23,01/01/2026,
Tillikum,Lopez,Friday Harbor,13:35,13:35,14:15,01/01/2026,
