Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Salish,Pt. Defiance,Tahlequah,05:05,05:07,05:18,12/25/2025,
Salish,Tahlequah,Pt. Defiance,05:30,05:31,05:42,12/25/2025,
Salish,Pt. Defiance,Tahlequah,05:55,05:57,06:08,12/25/2025,
Salish,Tahlequah,Pt. Defiance,06:20,06:21,06:32,12/25/2025,
Salish,Pt. Defiance,Tahlequah,06:45,06:46,06:57,12/25/2025,
Salish,Tahlequah,Pt. Defiance,07:10,07:11,07:23,12/25/2025,
Salish,Pt. Defiance,Tahlequah,07:35,07:36,07:48,12/25/2025,
Salish,Tahlequah,Pt. Defiance,08:00,08:01,08:12,12/25/2025,
