Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Suquamish,Clinton,Mukilteo,04:40,04:40,04:54,06/17/2026,
Suquamish,Mukilteo,Clinton,05:05,05:05,05:18,06/17/2026,
Suquamish,Clinton,Mukilteo,05:30,05:31,05:44,06/17/2026,
Suquamish,Mukilteo,Clinton,06:00,06:00,06:15,06/17/2026,
Suquamish,Clinton,Mukilteo,06:30,06:30,06:44,06/17/2026,
Suquamish,Mukilteo,Clinton,07:00,07:00,07:14,06/17/2026,
Suquamish,Clinton,Mukilteo,07:30,07:33,07:46,06/17/2026,
Suquamish,Mukilteo,Clinton,08:00,08:00,08:15,06/17/2026,
Suquamish,Clinton,Mukilteo,08:30,08:33,08:47,06/17/2026,
Suquamish,Mukilteo,Clinton,09:00,09:00,09:15,06/17/2026,
Suquamish,Clinton,Mukilteo,09:30,09:32,09:47,06/17/2026,
Suquamish,Mukilteo,Clinton,10:00,10:01,10:24,06/17/2026,
Suquamish,Clinton,Mukilteo,10:30,10:42,10:57,06/17/2026,
Suquamish,Mukilteo,Clinton,11:00,11:10,11:29,06/17/2026,
Suquamish,Clinton,Mukilteo,11:30,11:47,12:02,06/17/2026,
Suquamish,Mukilteo,Clinton,12:00,12:16,12:40,06/17/2026,
Suquamish,Clinton,Mukilteo,13:00,12:58,13:13,06/17/2026,
Suquamish,Mukilteo,Clinton,13:30,13:31,13:53,06/17/2026,
Suquamish,Clinton,Mukilteo,14:00,14:12,14:27,06/17/2026,
Suquamish,Mukilteo,Clinton,14:35,14:43,15:02,06/17/2026,
Suquamish,Clinton,Mukilteo,15:05,15:20,15:34,06/17/2026,
Suquamish,Mukilteo,Clinton,15:35,15:51,16:11,06/17/2026,
Suquamish,Clinton,Mukilteo,16:35,16:30,16:47,06/17/2026,
Suquamish,Mukilteo,Clinton,17:10,17:03,17:20,06/17/2026,
Suquamish,Clinton,Mukilteo,17:35,17:38,17:53,06/17/2026,
Suquamish,Mukilteo,Clinton,18:10,18:11,18:27,06/17/2026,
Suquamish,Clinton,Mukilteo,18:35,18:40,18:59,06/17/2026,
Suquamish,Mukilteo,Clinton,19:05,19:09,19:30,06/17/2026,
Suquamish,Clinton,Mukilteo,19:35,19:43,19:57,06/17/2026,
Suquamish,Mukilteo,Clinton,20:05,20:05,20:27,06/17/2026,
Suquamish,Clinton,Mukilteo,20:30,20:34,20:57,06/17/2026,
Suquamish,Mukilteo,Clinton,21:00,21:04,21:19,06/17/2026,
Suquamish,Clinton,Mukilteo,21:30,21:34,21:48,06/17/2026,
Suquamish,Mukilteo,Clinton,22:00,22:01,22:15,06/17/2026,
Suquamish,Clinton,Mukilteo,22:30,22:30,22:44,06/17/2026,
Suquamish,Mukilteo,Clinton,23:00,23:00,23:13,06/17/2026,
Suquamish,Clinton,Mukilteo,23:30,23:30,23:43,06/17/2026,
Suquamish,Mukilteo,Clinton,00:05,00:05,00:18,06/18/2026,
Suquamish,Clinton,Mukilteo,00:35,00:35,00:48,06/18/2026,
Suquamish,Mukilteo,Clinton,01:05,01:05,01:18,06/18/2026,
Suquamish,Clinton,Mukilteo,04:40,04:40,04:53,06/18/2026,
Suquamish,Mukilteo,Clinton,05:05,05:05,05:18,06/18/2026,
