Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Chimacum,Colman,Bremerton,00:50,00:45,00:58,12/17/2025,
Chimacum,Bremerton,Colman,06:20,06:22,07:17,12/17/2025,
Chimacum,Colman,Bremerton,07:35,07:38,08:37,12/17/2025,
Chimacum,Bremerton,Colman,08:45,09:18,09:43,12/17/2025,
Chimacum,Colman,Bremerton,10:00,10:01,10:57,12/17/2025,
Chimacum,Bremerton,Colman,11:10,11:12,12:06,12/17/2025,
Chimacum,Colman,Bremerton,12:20,12:22,13:18,12/17/2025,
Chimacum,Bremerton,Colman,13:30,13:32,14:26,12/17/2025,
Chimacum,Colman,Bremerton,14:50,14:53,15:50,12/17/2025,
