Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Wenatchee,Bainbridge,Colman,00:00,00:29,01:01,12/14/2025,
Wenatchee,Colman,Bainbridge,00:45,01:12,01:44,12/14/2025,
Wenatchee,Bainbridge,Colman,01:25,01:52,02:24,12/14/2025,
Wenatchee,Colman,Bainbridge,02:10,02:35,03:06,12/14/2025,
Wenatchee,Bainbridge,Colman,05:20,05:21,05:53,12/14/2025,
Wenatchee,Colman,Bainbridge,06:10,06:13,06:45,12/14/2025,
Wenatchee,Bainbridge,Colman,07:05,07:06,07:39,12/14/2025,
Wenatchee,Colman,Bainbridge,07:55,07:58,08:29,12/14/2025,
Wenatchee,Bainbridge,Colman,08:45,08:46,09:18,12/14/2025,
Wenatchee,Colman,Bainbridge,09:35,09:36,10:11,12/14/2025,
Wenatchee,Bainbridge,Colman,10:25,10:27,11:00,12/14/2025,
