Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Samish,Anacortes,Lopez,06:15,06:15,06:59,06/07/2026,
Samish,Lopez,Friday Harbor,07:10,07:10,07:43,06/07/2026,
Samish,Friday Harbor,Lopez,08:10,08:11,08:44,06/07/2026,
Samish,Lopez,Anacortes,08:55,08:55,09:42,06/07/2026,
Samish,Anacortes,Lopez,10:05,10:05,10:48,06/07/2026,
Samish,Lopez,Orcas,11:00,11:00,11:18,06/07/2026,
Samish,Orcas,Lopez,11:50,11:50,12:09,06/07/2026,
Samish,Lopez,Anacortes,12:20,12:24,13:11,06/07/2026,
Samish,Anacortes,Friday Harbor,13:35,13:39,14:59,06/07/2026,
Samish,Friday Harbor,Lopez,15:35,15:43,16:17,06/07/2026,
Samish,Lopez,Anacortes,16:20,16:23,17:10,06/07/2026,
Samish,Anacortes,Lopez,17:35,17:38,18:21,06/07/2026,
Samish,Lopez,Friday Harbor,18:30,18:30,19:12,06/07/2026,
