Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kittitas,Vashon,Southworth,00:15,00:20,00:31,08/08/2026,
Kittitas,Southworth,Fauntleroy,00:35,00:37,00:59,08/08/2026,
Kittitas,Fauntleroy,Vashon,01:05,01:20,01:34,08/08/2026,
Kittitas,Vashon,Southworth,01:30,01:38,01:50,08/08/2026,
Kittitas,Southworth,Vashon,04:20,04:20,04:31,08/08/2026,
Kittitas,Vashon,Fauntleroy,04:40,04:40,04:55,08/08/2026,
Kittitas,Fauntleroy,Vashon,05:10,05:11,05:25,08/08/2026,
Kittitas,Vashon,Southworth,05:35,05:36,05:47,08/08/2026,
Kittitas,Southworth,Vashon,05:55,05:55,06:07,08/08/2026,
Kittitas,Vashon,Fauntleroy,06:15,06:16,06:29,08/08/2026,
Kittitas,Fauntleroy,Vashon,06:45,06:45,06:59,08/08/2026,
Kittitas,Vashon,Southworth,07:10,07:11,07:22,08/08/2026,
Kittitas,Southworth,Vashon,07:30,07:31,07:42,08/08/2026,
Kittitas,Vashon,Fauntleroy,07:50,07:50,08:03,08/08/2026,
Kittitas,Fauntleroy,Vashon,08:20,08:21,08:36,08/08/2026,
Kittitas,Vashon,Southworth,08:50,08:51,09:01,08/08/2026,
Kittitas,Southworth,Vashon,09:15,09:16,09:27,08/08/2026,
Kittitas,Vashon,Fauntleroy,09:40,09:44,09:58,08/08/2026,
Kittitas,Fauntleroy,Vashon,10:15,10:16,10:30,08/08/2026,
Kittitas,Vashon,Southworth,10:40,10:41,10:51,08/08/2026,
Kittitas,Southworth,Vashon,11:00,11:09,11:20,08/08/2026,
Kittitas,Vashon,Fauntleroy,11:20,11:29,11:43,08/08/2026,
Kittitas,Fauntleroy,Southworth,11:50,12:01,12:18,08/08/2026,
Kittitas,Southworth,Vashon,12:20,12:37,12:48,08/08/2026,
Kittitas,Vashon,Fauntleroy,12:40,13:00,13:12,08/08/2026,
Kittitas,Fauntleroy,Vashon,13:15,13:28,13:41,08/08/2026,
Kittitas,Vashon,Fauntleroy,13:55,13:56,14:14,08/08/2026,
Kittitas,Fauntleroy,Vashon,14:30,14:32,14:47,08/08/2026,
Kittitas,Vashon,Southworth,14:55,14:56,15:07,08/08/2026,
Kittitas,Southworth,Vashon,15:15,15:20,15:31,08/08/2026,
Kittitas,Vashon,Fauntleroy,15:35,15:42,15:56,08/08/2026,
Kittitas,Fauntleroy,Vashon,16:05,16:13,16:27,08/08/2026,
Kittitas,Vashon,Southworth,16:35,16:36,16:47,08/08/2026,
Kittitas,Southworth,Fauntleroy,17:05,17:07,17:32,08/08/2026,
Kittitas,Fauntleroy,Southworth,17:45,17:47,18:06,08/08/2026,
Kittitas,Southworth,Vashon,18:15,18:22,18:32,08/08/2026,
Kittitas,Vashon,Fauntleroy,18:35,18:43,18:55,08/08/2026,
Kittitas,Fauntleroy,Vashon,19:10,19:11,19:26,08/08/2026,
Kittitas,Vashon,Fauntleroy,19:40,19:41,19:57,08/08/2026,
Kittitas,Fauntleroy,Vashon,20:10,20:11,20:25,08/08/2026,
Kittitas,Vashon,Fauntleroy,20:40,20:41,21:03,08/08/2026,
Kittitas,Fauntleroy,Vashon,21:20,21:22,21:37,08/08/2026,
Kittitas,Vashon,Fauntleroy,21:55,21:56,22:11,08/08/2026,
Kittitas,Fauntleroy,Vashon,22:25,22:29,22:43,08/08/2026,
Kittitas,Vashon,Southworth,23:00,23:00,23:11,08/08/2026,
Kittitas,Southworth,Fauntleroy,23:20,23:22,23:41,08/08/2026,
Kittitas,Fauntleroy,Vashon,23:50,23:52,00:07,08/08/2026,
Kittitas,Vashon,Southworth,00:15,00:16,00:28,08/09/2026,
Kittitas,Southworth,Fauntleroy,00:35,00:37,00:54,08/09/2026,
Kittitas,Fauntleroy,Vashon,01:05,01:12,01:26,08/09/2026,
Kittitas,Vashon,Southworth,01:30,01:32,01:42,08/09/2026,
Kittitas,Southworth,Vashon,04:20,04:20,04:31,08/09/2026,
Kittitas,Vashon,Fauntleroy,04:40,04:40,04:55,08/09/2026,
Kittitas,Fauntleroy,Vashon,05:10,05:10,05:26,08/09/2026,
Kittitas,Vashon,Southworth,05:35,05:36,05:49,08/09/2026,
Kittitas,Southworth,Vashon,05:55,05:58,06:09,08/09/2026,
Kittitas,Vashon,Fauntleroy,06:15,06:16,06:29,08/09/2026,
Kittitas,Fauntleroy,Vashon,06:45,06:45,07:00,08/09/2026,
Kittitas,Vashon,Southworth,07:10,07:11,07:24,08/09/2026,
Kittitas,Southworth,Vashon,07:30,07:33,07:45,08/09/2026,
Kittitas,Vashon,Fauntleroy,07:50,07:53,08:05,08/09/2026,
Kittitas,Fauntleroy,Vashon,08:20,08:20,08:35,08/09/2026,
Kittitas,Vashon,Southworth,08:50,08:51,09:02,08/09/2026,
Kittitas,Southworth,Vashon,09:15,09:17,09:30,08/09/2026,
Kittitas,Vashon,Fauntleroy,09:40,09:41,10:07,08/09/2026,
Kittitas,Fauntleroy,Vashon,10:15,10:23,10:37,08/09/2026,
Kittitas,Vashon,Southworth,10:40,10:46,10:57,08/09/2026,
Kittitas,Southworth,Vashon,11:00,11:11,11:24,08/09/2026,
Kittitas,Vashon,Fauntleroy,11:20,11:34,11:47,08/09/2026,
Kittitas,Fauntleroy,Southworth,11:50,12:07,12:26,08/09/2026,
Kittitas,Southworth,Vashon,12:20,12:42,12:55,08/09/2026,
Kittitas,Vashon,Fauntleroy,13:10,13:07,13:20,08/09/2026,
Kittitas,Fauntleroy,Vashon,13:40,13:38,13:51,08/09/2026,
Kittitas,Fauntleroy,Vashon,14:30,14:41,14:54,08/09/2026,
Kittitas,Vashon,Southworth,14:55,15:01,15:10,08/09/2026,
Kittitas,Southworth,Vashon,15:15,15:23,15:36,08/09/2026,
Kittitas,Vashon,Fauntleroy,15:35,15:45,15:58,08/09/2026,
Kittitas,Fauntleroy,Vashon,16:05,16:14,16:27,08/09/2026,
Kittitas,Vashon,Southworth,16:35,16:38,16:47,08/09/2026,
Kittitas,Southworth,Fauntleroy,17:05,17:11,17:42,08/09/2026,
Kittitas,Fauntleroy,Southworth,17:45,17:56,18:14,08/09/2026,
Kittitas,Southworth,Vashon,18:15,18:30,18:42,08/09/2026,
Kittitas,Vashon,Fauntleroy,18:35,18:50,19:03,08/09/2026,
Kittitas,Fauntleroy,Vashon,19:10,19:15,19:29,08/09/2026,
Kittitas,Vashon,Fauntleroy,19:40,19:41,20:02,08/09/2026,
Kittitas,Fauntleroy,Vashon,20:10,20:11,20:25,08/09/2026,
Kittitas,Vashon,Fauntleroy,20:40,20:41,21:09,08/09/2026,
