Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Salish,Port Townsend,Keystone,08:00,08:00,08:29,05/28/2026,
Salish,Keystone,Port Townsend,08:45,08:45,09:12,05/28/2026,
Salish,Port Townsend,Keystone,09:30,09:30,09:57,05/28/2026,
Salish,Keystone,Port Townsend,10:15,10:16,10:44,05/28/2026,
Salish,Port Townsend,Keystone,11:00,11:01,11:30,05/28/2026,
Salish,Keystone,Port Townsend,11:45,11:48,12:14,05/28/2026,
Salish,Port Townsend,Keystone,12:30,12:32,13:03,05/28/2026,
Salish,Keystone,Port Townsend,13:15,13:19,13:45,05/28/2026,
Salish,Port Townsend,Keystone,14:00,14:03,14:30,05/28/2026,
Salish,Keystone,Port Townsend,14:45,14:52,15:20,05/28/2026,
Salish,Port Townsend,Keystone,15:30,15:36,16:04,05/28/2026,
Salish,Keystone,Port Townsend,16:15,16:23,16:50,05/28/2026,
Salish,Port Townsend,Keystone,17:15,17:16,17:51,05/28/2026,
Salish,Keystone,Port Townsend,18:00,18:12,18:41,05/28/2026,
Salish,Port Townsend,Keystone,18:45,18:59,19:28,05/28/2026,
Salish,Keystone,Port Townsend,19:30,19:41,20:11,05/28/2026,
Salish,Port Townsend,Keystone,20:30,20:31,20:57,05/28/2026,
Salish,Keystone,Port Townsend,21:10,21:10,21:48,05/28/2026,
Salish,Port Townsend,Keystone,09:30,09:30,09:58,05/29/2026,
Salish,Keystone,Port Townsend,10:15,10:15,10:50,05/29/2026,
Salish,Port Townsend,Keystone,11:00,11:02,11:31,05/29/2026,
Salish,Keystone,Port Townsend,11:45,11:48,12:19,05/29/2026,
Salish,Port Townsend,Keystone,12:30,12:31,12:58,05/29/2026,
Salish,Keystone,Port Townsend,13:15,13:15,13:47,05/29/2026,
Salish,Port Townsend,Keystone,14:00,14:00,14:28,05/29/2026,
Salish,Keystone,Port Townsend,14:45,14:45,15:15,05/29/2026,
Salish,Port Townsend,Keystone,15:30,15:32,16:01,05/29/2026,
Salish,Keystone,Port Townsend,16:15,16:15,16:47,05/29/2026,
Salish,Port Townsend,Keystone,17:15,17:17,17:44,05/29/2026,
Salish,Keystone,Port Townsend,18:00,18:02,18:39,05/29/2026,
Salish,Port Townsend,Keystone,18:45,18:51,19:19,05/29/2026,
Salish,Keystone,Port Townsend,19:30,19:30,20:02,05/29/2026,
Salish,Port Townsend,Keystone,20:30,20:30,20:58,05/29/2026,
Salish,Keystone,Port Townsend,21:10,21:11,21:45,05/29/2026,
